Cell Type,Value,Measurement
Neocortex pyramidal cell layer 5-6,8.8,fast AHP amplitude
Neocortex pyramidal cell layer 5-6,4.0,fast AHP amplitude
Neocortex pyramidal cell layer 5-6,0.4,ADP amplitude
Neocortex pyramidal cell layer 5-6,0.84,ADP amplitude
Neocortex pyramidal cell layer 5-6,2.7,fast AHP amplitude
Neocortex pyramidal cell layer 5-6,193.0,cell surface area
Neocortex pyramidal cell layer 5-6,100.0,cell surface area
Neocortex pyramidal cell layer 5-6,0.18,adaptation ratio (1 – first/last ISI)
Neocortex pyramidal cell layer 5-6,0.35,adaptation ratio (1 – first/last ISI)
Hippocampus CA1 pyramidal cell,50.5,input resistance
Hippocampus CA1 pyramidal cell,93.5,input resistance
Hippocampus CA1 pyramidal cell,39.7,input resistance
Hippocampus CA1 pyramidal cell,65.6,input resistance
Neostriatum gabaergic interneuron,200.0,cell surface area
Neostriatum medium spiny neuron,104.0,spike max rise slope
Neostriatum medium spiny neuron,93.0,cell surface area
Neostriatum gabaergic interneuron,95.0,spike max rise slope
Neostriatum gabaergic interneuron,-55.0,spike max decay slope
Neostriatum medium spiny neuron,-40.0,spike max decay slope
Cerebellum granule cell,-53.6,AHP voltage
Cerebellum granule cell,-88.8,spike max decay slope
Cerebellum granule cell,155.3,spike max rise slope
Cerebellum granule cell,-94.5,spike max decay slope
Cerebellum granule cell,151.1,spike max rise slope
Cerebellum granule cell,0.79,spike half-width
Cerebellum granule cell,-55.0,AHP voltage
Cerebellum granule cell,9.8,spike peak
Hippocampus CA1 pyramidal cell,-66.2,resting membrane potential
Hippocampus CA1 pyramidal cell,-65.8,resting membrane potential
Hippocampus CA1 pyramidal cell,-52.4,spike threshold
Hippocampus CA1 pyramidal cell,22.2,ADP duration
Hippocampus CA1 pyramidal cell,-53.1,spike threshold
Hippocampus CA1 pyramidal cell,90.3,spike amplitude
Hippocampus CA1 pyramidal cell,17.9,ADP duration
Hippocampus CA1 pyramidal cell,92.0,spike amplitude
Cerebellum granule cell,-36.5,spike threshold
Cerebellum granule cell,-27.1,spike threshold
Cerebellum granule cell,38.1,rheobase
Cerebellum granule cell,19.11,rheobase
Cerebellum granule cell,3.0,cell capacitance
Cerebellum granule cell,3.9,cell capacitance
Cerebellum granule cell,-78.6,resting membrane potential
Cerebellum granule cell,-58.8,resting membrane potential
Cerebellum granule cell,7.4,cell diameter
Cerebellum granule cell,9.5,cell diameter
Ventral tegmental area dopamine neuron,89.0,spike amplitude from trough
Other,81.0,spike amplitude from trough
Other,-59.0,AHP voltage
Other,57.0,spike amplitude
Other,-31.1,spike threshold
Other,-45.0,resting membrane potential
Other,85.0,spike amplitude from trough
Neocortex basket cell,0.8,adaptation ratio (last/first ISI)
Neocortex basket cell,0.05,FI slope
Neocortex basket cell,75.7,maximum firing rate
Neocortex basket cell,16.5,AHP amplitude
Neocortex basket cell,130.9,input resistance
Neocortex basket cell,0.52,spike half-width
Spinal cord ventral horn motor neuron alpha,0.9,spike rise time
Spinal cord ventral horn motor neuron alpha,151.6,spike max rise slope
Spinal cord ventral horn motor neuron alpha,-82.1,spike max decay slope
Hypoglossal nucleus motor neuron,48.0,maximum firing rate
Other,57.37,membrane time constant
Other,51.49,membrane time constant
Other,67.8,membrane time constant
Other,44.29,spike amplitude
Other,0.7803,adaptation ratio
Other,0.7934,adaptation ratio
Other,24.48,membrane time constant
Other,18.97,membrane time constant
Other,18.36,cell capacitance
Other,54.49,spike amplitude
Other,67.55,spike amplitude
Other,360.42,maximum firing rate
Other,59.1,membrane time constant
Other,21.67,AHP amplitude
Other,21.51,AHP amplitude
Other,20.24,AHP amplitude
Other,19.99,AHP amplitude
Other,18.49,AHP amplitude
Other,0.58,spike half-width
Other,0.5,spike half-width
Other,0.86,spike half-width
Other,0.72,spike half-width
Other,0.8328,adaptation ratio
Other,21.83,AHP amplitude
Other,0.8393,adaptation ratio
Other,68.78,spike amplitude
Other,20.24,AHP amplitude
Other,166.7,input resistance
Other,11.36,membrane time constant
Other,49.64,cell capacitance
Other,180.6,input resistance
Other,21.98,AHP amplitude
Other,52.63,cell capacitance
Other,30.21,cell capacitance
Other,74.26,cell capacitance
Other,59.39,cell capacitance
Other,68.35,cell capacitance
Other,68.19,cell capacitance
Other,152.8,input resistance
Other,0.7705,adaptation ratio
Other,0.7689,adaptation ratio
Other,208.3,input resistance
Other,513.9,input resistance
Other,666.7,input resistance
Other,1236.0,input resistance
Other,2250.0,input resistance
Other,1.24,spike half-width
Other,1.38,spike half-width
Other,135.42,maximum firing rate
Other,71.63,spike amplitude
Other,60.42,maximum firing rate
Other,70.41,spike amplitude
Other,65.51,spike amplitude
Other,1.54,spike half-width
Other,2.16,spike half-width
Other,73.27,spike amplitude
Other,15.74,membrane time constant
Other,0.9115,adaptation ratio
Other,0.941,adaptation ratio
Other,-64.33,resting membrane potential
Other,-64.58,resting membrane potential
Other,-50.55,resting membrane potential
Other,-46.35,resting membrane potential
Other,-64.41,resting membrane potential
Other,-61.88,resting membrane potential
Other,-57.55,resting membrane potential
Other,-55.43,resting membrane potential
Other,22.0,spike peak
Other,50.0,spike amplitude
Other,1.8,spike width
Other,-61.3,resting membrane potential
Other,-28.0,spike threshold
Other,26.2,AHP amplitude
Other,39.1,membrane time constant
Other,447.1,input resistance
Inferior colliculus neuron,3.33,spike width
Inferior colliculus neuron,235.0,input resistance
Inferior colliculus neuron,-63.8,resting membrane potential
Inferior colliculus neuron,69.13,spike amplitude
Inferior colliculus neuron,1.8,membrane time constant
Inferior colliculus neuron,14.04,membrane time constant
Inferior colliculus neuron,55.5,spike amplitude
Inferior colliculus neuron,3.27,spike width
Inferior colliculus neuron,170.0,input resistance
Inferior colliculus neuron,2.1,membrane time constant
Inferior colliculus neuron,-62.7,resting membrane potential
Neocortex pyramidal cell layer 5-6,1.69,spike width
Neocortex pyramidal cell layer 5-6,80.8,spike amplitude
Neocortex pyramidal cell layer 5-6,83.4,spike amplitude
Neocortex pyramidal cell layer 5-6,1.58,spike width
Neocortex pyramidal cell layer 5-6,1.48,spike width
Neocortex pyramidal cell layer 5-6,87.0,spike amplitude
Neocortex pyramidal cell layer 5-6,34.7,medium AHP duration
Neocortex pyramidal cell layer 5-6,25.3,medium AHP duration
Neocortex pyramidal cell layer 5-6,31.7,medium AHP duration
Neocortex pyramidal cell layer 5-6,4.78,fast AHP amplitude
Neocortex pyramidal cell layer 5-6,8.49,fast AHP amplitude
Neocortex pyramidal cell layer 5-6,10.23,fast AHP amplitude
Neocortex pyramidal cell layer 5-6,-42.1,spike threshold
Neocortex pyramidal cell layer 5-6,-33.2,spike threshold
Neocortex pyramidal cell layer 5-6,-40.6,spike threshold
Neocortex pyramidal cell layer 5-6,0.12,sag ratio
Neocortex pyramidal cell layer 5-6,0.21,sag ratio
Neocortex pyramidal cell layer 5-6,0.22,sag ratio
Neocortex pyramidal cell layer 5-6,1.2,sag amplitude
Neocortex pyramidal cell layer 5-6,3.1,sag amplitude
Neocortex pyramidal cell layer 5-6,4.8,sag amplitude
Neocortex pyramidal cell layer 5-6,0.59,spike rise time
Neocortex pyramidal cell layer 5-6,0.55,spike rise time
Neocortex pyramidal cell layer 5-6,0.6,spike rise time
Neocortex pyramidal cell layer 5-6,0.83,spike half-width
Neocortex pyramidal cell layer 5-6,0.77,spike half-width
Neocortex pyramidal cell layer 5-6,0.85,spike half-width
Neocortex pyramidal cell layer 5-6,11.9,medium AHP amplitude
Neocortex pyramidal cell layer 5-6,1.37,fast AHP duration
Neocortex pyramidal cell layer 5-6,1.54,fast AHP duration
Neocortex pyramidal cell layer 5-6,1.38,fast AHP duration
Neocortex pyramidal cell layer 5-6,13.7,medium AHP amplitude
Neocortex pyramidal cell layer 5-6,11.4,medium AHP amplitude
Other,78.0,fast AHP amplitude
Ventral tegmental area dopamine neuron,92.0,fast AHP amplitude
Other,89.0,fast AHP amplitude
Neocortex pyramidal cell layer 5-6,86.0,input resistance
Neocortex pyramidal cell layer 5-6,56.7,input resistance
Neocortex pyramidal cell layer 5-6,0.39,rheobase
Neocortex pyramidal cell layer 5-6,46.4,input resistance
Neocortex pyramidal cell layer 5-6,0.3,rheobase
Neocortex pyramidal cell layer 5-6,0.26,rheobase
Substantia nigra pars compacta dopaminergic cell,642.0,input resistance
Substantia nigra pars compacta dopaminergic cell,146.0,cell capacitance
Substantia nigra pars compacta dopaminergic cell,86.9,membrane time constant
Substantia nigra pars compacta dopaminergic cell,-40.3,spike threshold
Substantia nigra pars compacta dopaminergic cell,47.1,spike amplitude
Substantia nigra pars compacta dopaminergic cell,29.4,sag amplitude
Substantia nigra pars compacta dopaminergic cell,2.99,spike half-width
Substantia nigra pars compacta dopaminergic cell,24.5,spike max rise slope
Substantia nigra pars compacta dopaminergic cell,0.92,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,340.0,input resistance
Substantia nigra pars compacta dopaminergic cell,89.0,membrane time constant
Substantia nigra pars compacta dopaminergic cell,29.5,sag amplitude
Substantia nigra pars compacta dopaminergic cell,280.0,cell capacitance
Substantia nigra pars compacta dopaminergic cell,-41.6,spike threshold
Substantia nigra pars compacta dopaminergic cell,20.7,AHP amplitude
Substantia nigra pars compacta dopaminergic cell,-21.4,spike max decay slope
Substantia nigra pars compacta dopaminergic cell,1.76,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,14.1,AHP amplitude
Substantia nigra pars compacta dopaminergic cell,-19.6,spike max decay slope
Substantia nigra pars compacta dopaminergic cell,47.6,spike max rise slope
Substantia nigra pars compacta dopaminergic cell,2.38,spike half-width
Substantia nigra pars compacta dopaminergic cell,59.5,spike amplitude
Substantia nigra pars compacta dopaminergic cell,36.3,spike max rise slope
Substantia nigra pars compacta dopaminergic cell,2.51,spike half-width
Substantia nigra pars compacta dopaminergic cell,50.6,spike amplitude
Substantia nigra pars compacta dopaminergic cell,-41.7,spike threshold
Substantia nigra pars compacta dopaminergic cell,56.2,spike max rise slope
Substantia nigra pars compacta dopaminergic cell,-39.7,spike max decay slope
Substantia nigra pars compacta dopaminergic cell,281.0,cell capacitance
Substantia nigra pars compacta dopaminergic cell,327.0,input resistance
Substantia nigra pars compacta dopaminergic cell,-44.4,spike threshold
Substantia nigra pars compacta dopaminergic cell,60.1,spike amplitude
Substantia nigra pars compacta dopaminergic cell,1.63,spike half-width
Substantia nigra pars compacta dopaminergic cell,77.8,membrane time constant
Substantia nigra pars compacta dopaminergic cell,325.0,input resistance
Substantia nigra pars compacta dopaminergic cell,245.0,cell capacitance
Substantia nigra pars compacta dopaminergic cell,27.9,sag amplitude
Substantia nigra pars compacta dopaminergic cell,32.8,spike max rise slope
Substantia nigra pars compacta dopaminergic cell,-20.2,spike max decay slope
Substantia nigra pars compacta dopaminergic cell,283.0,cell capacitance
Substantia nigra pars compacta dopaminergic cell,323.0,input resistance
Substantia nigra pars compacta dopaminergic cell,1.8,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,1.11,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,80.6,membrane time constant
Substantia nigra pars compacta dopaminergic cell,26.1,AHP amplitude
Substantia nigra pars compacta dopaminergic cell,83.5,membrane time constant
Substantia nigra pars compacta dopaminergic cell,27.5,sag amplitude
Substantia nigra pars compacta dopaminergic cell,63.0,spike max rise slope
Substantia nigra pars compacta dopaminergic cell,-43.2,spike max decay slope
Substantia nigra pars compacta dopaminergic cell,28.6,AHP amplitude
Substantia nigra pars compacta dopaminergic cell,1.07,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,2.74,spike half-width
Substantia nigra pars compacta dopaminergic cell,54.4,spike amplitude
Substantia nigra pars compacta dopaminergic cell,29.6,sag amplitude
Substantia nigra pars compacta dopaminergic cell,200.0,cell capacitance
Substantia nigra pars compacta dopaminergic cell,-42.8,spike threshold
Substantia nigra pars compacta dopaminergic cell,576.0,input resistance
Substantia nigra pars compacta dopaminergic cell,90.9,membrane time constant
Substantia nigra pars compacta dopaminergic cell,-44.2,spike threshold
Substantia nigra pars compacta dopaminergic cell,61.0,spike amplitude
Substantia nigra pars compacta dopaminergic cell,35.6,sag amplitude
Substantia nigra pars compacta dopaminergic cell,460.0,input resistance
Substantia nigra pars compacta dopaminergic cell,205.0,cell capacitance
Substantia nigra pars compacta dopaminergic cell,92.3,membrane time constant
Substantia nigra pars compacta dopaminergic cell,-43.9,spike threshold
Substantia nigra pars compacta dopaminergic cell,1.49,spike half-width
Substantia nigra pars compacta dopaminergic cell,62.4,spike amplitude
Substantia nigra pars compacta dopaminergic cell,-42.8,spike threshold
Substantia nigra pars compacta dopaminergic cell,34.1,sag amplitude
Substantia nigra pars compacta dopaminergic cell,316.0,cell capacitance
Substantia nigra pars compacta dopaminergic cell,28.2,sag amplitude
Substantia nigra pars compacta dopaminergic cell,129.0,cell capacitance
Substantia nigra pars compacta dopaminergic cell,1642.0,input resistance
Substantia nigra pars compacta dopaminergic cell,200.3,membrane time constant
Substantia nigra pars compacta dopaminergic cell,2.08,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,-17.6,spike max decay slope
Substantia nigra pars compacta dopaminergic cell,22.6,AHP amplitude
Substantia nigra pars compacta dopaminergic cell,2.92,spike half-width
Substantia nigra pars compacta dopaminergic cell,23.8,spike max rise slope
Substantia nigra pars compacta dopaminergic cell,-39.8,spike threshold
Substantia nigra pars compacta dopaminergic cell,46.3,spike amplitude
Substantia nigra pars compacta dopaminergic cell,1.3,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,54.9,spike max rise slope
Substantia nigra pars compacta dopaminergic cell,1.91,spike half-width
Substantia nigra pars compacta dopaminergic cell,24.1,AHP amplitude
Substantia nigra pars compacta dopaminergic cell,-30.9,spike max decay slope
Substantia nigra pars compacta dopaminergic cell,1.01,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,1.5,spike half-width
Substantia nigra pars compacta dopaminergic cell,61.5,spike max rise slope
Substantia nigra pars compacta dopaminergic cell,-43.9,spike threshold
Substantia nigra pars compacta dopaminergic cell,62.6,spike amplitude
Substantia nigra pars compacta dopaminergic cell,-44.1,spike max decay slope
Substantia nigra pars compacta dopaminergic cell,29.1,AHP amplitude
Substantia nigra pars compacta dopaminergic cell,31.2,sag amplitude
Substantia nigra pars compacta dopaminergic cell,1.97,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,143.0,cell capacitance
Substantia nigra pars compacta dopaminergic cell,650.0,input resistance
Substantia nigra pars compacta dopaminergic cell,89.3,membrane time constant
Substantia nigra pars compacta dopaminergic cell,297.0,cell capacitance
Substantia nigra pars compacta dopaminergic cell,32.4,sag amplitude
Substantia nigra pars compacta dopaminergic cell,1.01,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,20.9,AHP amplitude
Substantia nigra pars compacta dopaminergic cell,87.9,membrane time constant
Substantia nigra pars compacta dopaminergic cell,369.0,input resistance
Substantia nigra pars compacta dopaminergic cell,55.5,spike amplitude
Substantia nigra pars compacta dopaminergic cell,1.45,spike half-width
Substantia nigra pars compacta dopaminergic cell,50.6,spike max rise slope
Substantia nigra pars compacta dopaminergic cell,-41.1,spike max decay slope
Substantia nigra pars compacta dopaminergic cell,28.4,AHP amplitude
Substantia nigra pars compacta dopaminergic cell,0.99,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,0.95,adaptation ratio (last/first ISI)
Substantia nigra pars compacta dopaminergic cell,93.1,membrane time constant
Substantia nigra pars compacta dopaminergic cell,293.0,cell capacitance
